rent,size_sqm,district,year,source,price_per_sqm,size_category,rent_category,period
1.55,71.0,Charlottenburg,2025,Immobilienscout24,0.02183098591549296,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.45,60.0,Kreuzberg,2025,Immobilienscout24,0.024166666666666666,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
600.0,60.0,Neukölln,2025,Immobilienscout24,10.0,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
660.0,33.0,Steglitz,2025,Immobilienscout24,20.0,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
566.0,33.0,Charlottenburg,2025,Immobilienscout24,17.151515151515152,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
745.0,41.0,Unbekannt,2025,Immobilienscout24,18.170731707317074,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
20.0,99.41,Unbekannt,2025,Immobilienscout24,0.20118700331958556,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.8,48.0,Mitte,2025,Immobilienscout24,0.0375,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.75,106.0,Mitte,2025,Immobilienscout24,0.01650943396226415,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.8,132.0,Unbekannt,2025,Immobilienscout24,0.02121212121212121,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
740.0,30.0,Neukölln,2025,Immobilienscout24,24.666666666666668,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.39,65.0,Reinickendorf,2025,Immobilienscout24,0.021384615384615384,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.225,47.13,Charlottenburg,2025,Immobilienscout24,0.025991937194992574,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
520.0,65.0,Unbekannt,2025,Immobilienscout24,8.0,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.4,54.0,Unbekannt,2025,Immobilienscout24,0.025925925925925925,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.343,59.55,Unbekannt,2025,Immobilienscout24,0.02255247691015953,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
922.2,58.0,Unbekannt,2025,Immobilienscout24,15.9,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
940.0,52.5,Köpenick,2025,Immobilienscout24,17.904761904761905,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
2.05,140.0,Neukölln,2025,Immobilienscout24,0.014642857142857141,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.48,85.0,Unbekannt,2025,Immobilienscout24,0.017411764705882352,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.9,85.0,Prenzlauer Berg,2025,Immobilienscout24,0.022352941176470586,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
705.0,28.17,Unbekannt,2025,Immobilienscout24,25.026624068157613,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
1.195,25.0,Friedrichshain,2025,Immobilienscout24,0.0478,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
1.6,60.0,Wilmersdorf,2025,Immobilienscout24,0.02666666666666667,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
770.0,33.0,Köpenick,2025,Immobilienscout24,23.333333333333332,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.65,62.5,Mitte,2025,Immobilienscout24,0.0264,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.461,107.0,Unbekannt,2025,Immobilienscout24,0.023,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.656,63.72,Friedrichshain,2025,Immobilienscout24,0.02598870056497175,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.353,71.26,Friedrichshain,2025,Immobilienscout24,0.018986808868930675,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.562,86.79,Friedrichshain,2025,Immobilienscout24,0.017997465145754118,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
850.0,70.0,Unbekannt,2025,Immobilienscout24,12.142857142857142,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
280.0,20.0,Prenzlauer Berg,2025,Immobilienscout24,14.0,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
1.7,76.0,Friedrichshain,2025,Immobilienscout24,0.02236842105263158,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
