ID,SORTE,PLZ,KALTMIETE,WARMMIETE,NEBENKOSTEN,KAUTION,HEIZUNGSKOSTEN,ZIMMER,PARKPLAETZE,WOHNFLAECHE,BAUJAHR,ZUSTAND,VERfÜGBAR AB,ENERGIEEFFIZIENSKLASSE,ENERGIEBEDARF/kWh/(m²*a),ENERGIEASUWEIS,Etagenheizung,Zentralheizung,Ofenheizung,offener Kamin,Luft-/Wasser-Wärmepumpe,Gas,Öl,Solar,Strom,Holz,Fernwärme,Erdwärme,Pellets,Kohle,Flüssiggas,KfW 55,Niedrigenergie,KfW 40,KfW 60,KfW 70,Neubaustandard,möbliert,teilweise möbliert,Alarmanlage,Garage,Carport,Tiefgarage,Duplex,Stellplatz,Klimaanlage,Sauna,Schwimmbad,See,Berge,Personenaufzug,Lastenaufzug,Keller,Waschraum,Bibliothek,Terrasse,Balkon,Garten,Einbauküche,Dusche,Badewanne,Bad mit Fenster,Gäste-WC,Fliesen,Parkett,Holz/Dielen,Laminat,Teppich,PVC/Linoleum,Stein,Marmor,Doppelboden,Terracotta,Sonstiges
48680578,Etagenwohnung,13125,879.83,1099.83,140.0,,80.0,2.0,,84.55,2019.0,,2022-10-16 00:00:00,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
48896308,Etagenwohnung,13125,739.0,919.0,85.0,2217.0,95.0,2.0,,56.36,1997.0,,2022-12-01 00:00:00,Klasse C,77.5,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
47520571,Etagenwohnung,13469,970.0,,,,,2.0,,54.0,,,nach Vereinbarung,Klasse B,,BEDARFSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
47330684,Maisonette,13469,1875.0,2065.0,190.0,5625.0,,2.0,,122.0,1912.0,Altbau,,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47964232,Maisonette,13469,1875.0,2065.0,190.0,5625.0,,2.0,,122.0,1912.0,renoviert,2022-07-15 00:00:00,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48079205,Maisonette,13469,1875.0,2065.0,190.0,5625.0,,2.0,,122.0,1912.0,renoviert,2022-07-15 00:00:00,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278995L,,13469,2175.0,2589.0,207.0,6525.0,207.0,3.0,1.0,88.35,2022.0,,2022-11-01 00:00:00,Klasse B,36.0,BEDARFSAUSWEIS,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
27TQS5E,,10783,1590.0,,,,,2.0,,54.0,2018.0,Neuwertig,sofort,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,,,,,,1.0,0.0,,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
47251899,Etagenwohnung,12526,949.0,,125.0,,,2.0,,49.0,2011.0,Neuwertig,sofort,Klasse B,72.0,VERBRAUCHSAUSWEIS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258JS59,Etagenwohnung,12526,949.0,1199.0,125.0,2372.5,125.0,2.0,,49.0,2011.0,Neuwertig,sofort,Klasse B,98.0,VERBRAUCHSAUSWEIS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0
