price,size,district,rooms,year,dataset_id,source,title,address,link,price_original,size_original
2110.9,95.95,Pankow,,2025,recent,ImmobilienScout24,Helle 3-Zimmer-Wohnung mit Terrasse in Berlin - Rosenthaler Weg,"Rosenthaler Weg 50, Französisch Buchholz, Berlin",https://www.immobilienscout24.de/expose/159471683,"2.110,90 €","95,95 m²"
1316.0,66.0,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,Tolle 2 Zimmer Wohnung mit Balkon und Einbauküche,"In den Alboingärten 29, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159357106,1.316 €,66 m²
1542.0,81.0,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,Tolle 2 Zimmer Wohnung mit zwei Balkonen und Einbauküche,"In den Alboingärten 23, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159357068,1.542 €,81 m²
1553.0,82.0,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,"Tolle 2,5 Zimmer Wohnung mit Terrasse und Einbauküche","In den Alboingärten 13, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159357007,1.553 €,82 m²
1209.0,60.0,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,Tolle 2 Zimmer Wohnung mit Balkon und Einbauküche,"In den Alboingärten 1, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159356841,1.209 €,60 m²
1500.0,50.0,Reinickendorf,,2025,recent,ImmobilienScout24,Möblierte 2-Zimmer-Wohnung mit Einbauküche am Tegler See,"Tegel, Berlin",https://www.immobilienscout24.de/expose/159891937,1.500 €,50 m²
1261.0,47.0,Neukölln,,2025,recent,ImmobilienScout24,"Beautiful, Sunny Apartment Next to Körnerpark – Ready to Move In right away","Rübelandstraße 5, Neukölln (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159891363,1.261 €,47 m²
1290.0,43.0,Charlottenburg-Wilmersdorf,,2025,recent,ImmobilienScout24,Ein Zuhause mit Stil – Ihr exklusives Apartment direkt am Kurfürstendamm,"Kurfürstendamm 154, Wilmersdorf, Berlin",https://www.immobilienscout24.de/expose/159891423,1.290 €,43 m²
2400.0,120.0,Pankow,,2025,recent,ImmobilienScout24,"Moderne 3-Zimmer-Neubauwohnung mit EBK, Fußbodenheizung & Gartenzugang – ideal für Familien","Otto-Ostrowski-Straße 14, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/139316935,2.400 €,120 m²
1790.0,54.0,Friedrichshain-Kreuzberg,,2025,recent,ImmobilienScout24,All-inclusive! - Cosy furnished 2-room top-floor apartment with elevator in Berlin-Friedrichshain,"Strassmannstrasse 6, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/106944139,1.790 €,54 m²
1950.0,75.08,Steglitz-Zehlendorf,,2025,recent,ImmobilienScout24,Exklusiver Neubau-Erstbezug in Steglitz! Helle 3-Raum-Wohnung mit sehr hochwertiger EBK und 2 Bädern,"Albrechtstraße 87, Steglitz, Berlin",https://www.immobilienscout24.de/expose/159186723,1.950 €,"75,08 m²"
1603.02,83.84,Spandau,,2025,recent,ImmobilienScout24,Große Maisonettewohnung nahe der Havel,"Straßburger Straße 40, Spandau (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159307289,"1.603,02 €","83,84 m²"
1010.0,61.0,Mitte,,2025,recent,ImmobilienScout24,Sehr schöne helle 2-Zimmer-Wohnung mit Balkon Nähe Zionskirchplatz (Mitte),"Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159891134,1.010 €,61 m²
467.0,78.0,Mitte,,2025,recent,ImmobilienScout24,Tauschwohnung: gut geschnittene 3-Zimmer-Wohnung in Berlin Moabit:,"Turmstraße 20, Moabit, Berlin",https://www.immobilienscout24.de/expose/159876114,467 €,78 m²
450.0,60.0,Lichtenberg,,2025,recent,ImmobilienScout24,Tauschwohnung: WBS WHG Lichtenberg ruhige Lage naturnah großer Hinterhof,"Guntherstr. 8, Lichtenberg (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159876150,450 €,60 m²
560.0,45.0,Lichtenberg,,2025,recent,ImmobilienScout24,Tauschwohnung: Tausche Wohnung gegen 2-Zimmer oder WG,"Tauschwohnungstraße 1, Lichtenberg (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159877366,560 €,45 m²
998.0,77.0,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,Tauschwohnung: Schöne 2-Zimmer Dachgeschosswohnung (Schöneberg/rote Insel),"Leuthener Straße 17, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159877485,998 €,77 m²
852.0,80.0,Neukölln,,2025,recent,ImmobilienScout24,"Tauschwohnung: 3 Zi Altbauwo im Körnerkiez gg 3/4 Zi Nk,Xberg,Trptw,Tempelh","Emser Str 1, Neukölln (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159877688,852 €,80 m²
300.0,45.0,Mitte,,2025,recent,ImmobilienScout24,Tauschwohnung: Günstige Einzimmerwohnung gegen mind. 2.5 Zimmer,"Wollankstr. XX, Gesundbrunnen, Berlin",https://www.immobilienscout24.de/expose/159877966,300 €,45 m²
243.03,36.25,Lichtenberg,,2025,recent,ImmobilienScout24,Tauschwohnung: Suche ab 3-Zimmer-Wohnung gegen 1-Zimmer-Wohnung.,"Tauschwohnungstraße 1, Lichtenberg (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159877992,"243,03 €","36,25 m²"
489.0,70.0,Reinickendorf,,2025,recent,ImmobilienScout24,"Tauschwohnung: Großzügige 2-Zimmer Wohnung, Schönholz 489€","Schwartzstraße  5, Reinickendorf (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159878244,489 €,70 m²
355.0,36.0,Neukölln,,2025,recent,ImmobilienScout24,Tauschwohnung: 1ZKB günstig im Reuterkiez gegen größer im Kiez,"Lenaustr 00, Neukölln (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159878518,355 €,36 m²
394.0,58.0,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,"Tauschwohnung: 2 Zi nähe Ring Tempelhof-Schöneberg, gegen ab große 2,5 Zi","Tauschwohnungstraße 1, Tempelhof, Berlin",https://www.immobilienscout24.de/expose/159878572,394 €,58 m²
510.0,51.0,Friedrichshain-Kreuzberg,,2025,recent,ImmobilienScout24,"Tauschwohnung: Helle 2 Zimmer Dachgeschosswohnung gegen mind. 2,5 Zimmer","Lausitzer Str.  37, Kreuzberg, Berlin",https://www.immobilienscout24.de/expose/159878826,510 €,51 m²
750.0,65.0,Pankow,,2025,recent,ImmobilienScout24,Tauschwohnung: Wir suchen eine 3-4 ZKB Wohnung und tauschen unsere 2 Zimmer,"Buchholzer Str.  1, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/159879076,750 €,65 m²
393.0,39.0,Mitte,,2025,recent,ImmobilienScout24,Tauschwohnung: Tausche 1-Zimmerwohnung mit Balkon gegen größere Wohnung,"Rathenower Straße xx, Moabit, Berlin",https://www.immobilienscout24.de/expose/159879102,393 €,39 m²
680.0,60.0,Mitte,,2025,recent,ImmobilienScout24,Tauschwohnung: Helle 2-Zimmer Wohnung mit Balkon im Gesundgrunnen,"Stettiner Str. 17, Gesundbrunnen, Berlin",https://www.immobilienscout24.de/expose/159879108,680 €,60 m²
670.0,53.0,Steglitz-Zehlendorf,,2025,recent,ImmobilienScout24,Tauschwohnung: Ruhige 2 Zimmer-Wohnung am Rathaus Steglitz mit Süd-Balkon,"Herrfurthstr. 9, Steglitz, Berlin",https://www.immobilienscout24.de/expose/159879113,670 €,53 m²
700.0,81.0,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,Tauschwohnung: Gut geschnittene 3-Zimmerwohnung mit Stellplatz,"Alt-Tempelhof 40, Tempelhof, Berlin",https://www.immobilienscout24.de/expose/159879133,700 €,81 m²
450.0,70.0,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,Tauschwohnung: Helle und ruhige 3-Zimmer-Wohnung mit Südbalkon,"Kaiserin-Augusta-Straße 1, Tempelhof, Berlin",https://www.immobilienscout24.de/expose/159879169,450 €,70 m²
1200.0,106.0,Pankow,,2025,recent,ImmobilienScout24,"Tauschwohnung: 4 Zimmer  Wohnung gegen 2 Zimmer Wohnung, 13086 Weißensee2","Rennbahnstraße  22, Weißensee, Berlin",https://www.immobilienscout24.de/expose/159879179,1.200 €,106 m²
580.0,53.0,Neukölln,,2025,recent,ImmobilienScout24,Tauschwohnung: Helle 2-Zimmer-Wohnung in Neukölln.,"Tauschwohnungstraße 1, Neukölln (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159879194,580 €,53 m²
