PLZ,Ortsteil,Bezirk,Lat,Lon,Entries,Ortsteile_Count
13351,Wedding,Mitte,52.55,13.365,892,1
13353,Moabit,Mitte,52.528,13.343,1818,2
13355,Gesundbrunnen,Mitte,52.5511,13.3885,860,1
13357,Gesundbrunnen,Mitte,52.5511,13.3885,976,1
13359,Gesundbrunnen,Mitte,52.5511,13.3885,984,1
13403,Wittenau,Reinickendorf,52.5833,13.3333,5232,2
13405,Tegel,Reinickendorf,52.5833,13.2833,704,1
13407,Reinickendorf,Reinickendorf,52.5833,13.3333,2324,1
13409,Reinickendorf,Reinickendorf,52.5833,13.3333,2221,1
13435,Märkisches Viertel,Reinickendorf,52.6,13.3833,1160,1
13437,Wittenau,Reinickendorf,52.5833,13.3333,2864,1
13439,Märkisches Viertel,Reinickendorf,52.6,13.3833,992,1
13465,Frohnau,Reinickendorf,52.6333,13.3,5511,1
13467,Hermsdorf,Reinickendorf,52.6167,13.3167,4857,1
13469,Lübars,Reinickendorf,52.6167,13.3667,3619,1
13503,Tegel,Reinickendorf,52.5833,13.2833,12754,2
13505,Tegel,Reinickendorf,52.5833,13.2833,4396,2
13507,Tegel,Reinickendorf,52.5833,13.2833,2807,1
13509,Wittenau,Reinickendorf,52.5833,13.3333,6596,2
13581,Staaken,Spandau,52.5333,13.1333,3786,2
13583,Falkenhagener Feld,Spandau,52.55,13.1667,2032,1
13585,Hakenfelde,Spandau,52.55,13.1833,2904,2
13587,Hakenfelde,Spandau,52.55,13.1833,3130,1
13589,Hakenfelde,Spandau,52.55,13.1833,5268,2
13591,Spandau,Spandau,52.5333,13.2,13162,2
13593,Wilhelmstadt,Spandau,52.5167,13.1833,4226,2
13595,Staaken,Spandau,52.5333,13.1333,4902,2
13597,Wilhelmstadt,Spandau,52.5167,13.1833,3309,3
13599,Siemensstadt,Spandau,,,4198,2
13627,Wilhelmstadt,Spandau,52.5167,13.1833,3279,3
13629,Haselhorst,Spandau,,,3921,3
14050,Westend,Charlottenburg-Wilmersdorf,52.5167,13.2833,1119,1
14052,Spandau,Spandau,52.5333,13.2,2502,2
14053,Westend,Charlottenburg-Wilmersdorf,52.5167,13.2833,49,1
14055,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043,4352,2
14057,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043,602,1
14059,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043,1014,1
14089,Gatow,Spandau,52.4833,13.1833,15296,2
14109,Wannsee,Steglitz-Zehlendorf,52.4167,13.1833,3050,1
14129,Zehlendorf,Steglitz-Zehlendorf,52.4333,13.25,3333,1
14163,Zehlendorf,Steglitz-Zehlendorf,52.4333,13.25,3679,1
14165,Zehlendorf,Steglitz-Zehlendorf,52.4333,13.25,2868,1
14167,Lichtenrade,Tempelhof-Schöneberg,52.3833,13.4,7818,2
14169,Dahlem,Steglitz-Zehlendorf,52.4667,13.2833,6588,2
14193,Wannsee,Steglitz-Zehlendorf,52.4167,13.1833,5766,2
14195,Schmargendorf,Charlottenburg-Wilmersdorf,52.4667,13.2833,7332,2
14197,Wilmersdorf,Charlottenburg-Wilmersdorf,52.4867,13.3189,1340,1
14199,Schmargendorf,Charlottenburg-Wilmersdorf,52.4667,13.2833,1592,1
