price,size,district,year,dataset,rooms
900.0,60.0,Wittenau_Reinickendorf,2019,historical,2.0
940.0,68.0,Tiergarten,2019,historical,2.0
460.0,19.5,Wedding,2019,historical,1.0
514.94,49.96,Köpenick,2019,historical,1.5
2450.0,250.0,Schöneberg,2019,historical,7.0
1290.0,80.0,Charlottenburg,2019,historical,2.0
1227.0,93.52,Marienfelde_Tempelhof,2019,historical,3.0
1230.0,40.0,Mitte,2019,historical,2.0
812.81,71.93,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,3.0
976.0,57.4,Wedding,2019,historical,2.0
1120.0,64.0,Friedrichshain,2019,historical,2.0
2901.0,96.69,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,4.0
649.0,52.0,Charlottenburg,2019,historical,2.0
1320.0,72.93,Mitte,2019,historical,3.0
611.52,29.12,Köpenick,2019,historical,1.0
569.0,44.05,Köpenick,2019,historical,1.5
700.0,67.6,Steglitz,2019,historical,2.0
435.0,18.2,Wedding,2019,historical,1.0
2717.0,136.0,Friedrichshain,2019,historical,4.0
501.52,67.05,Marzahn,2019,historical,3.0
1740.61,96.97,Tiergarten,2019,historical,3.0
530.0,23.37,Schöneberg,2019,historical,1.0
791.68,49.48,Friedrichshain,2019,historical,1.0
1157.0,60.93,Mitte,2019,historical,2.0
3000.0,262.0,Dahlem_Zehlendorf,2019,historical,7.0
718.83,68.46,Köpenick,2019,historical,2.0
567.0,42.49,Neukölln,2019,historical,1.5
634.89,66.83,Buckow_Neukölln,2019,historical,2.0
1032.0,73.7,Tempelhof,2019,historical,3.0
850.0,29.0,Wedding,2019,historical,1.0
1435.0,89.44,Friedrichshain,2019,historical,2.0
536.22,63.0,Lichtenberg,2019,historical,2.5
1393.92,70.4,Mitte,2019,historical,2.0
586.54,68.64,Karow_Weißensee,2019,historical,1.5
717.27,77.88,Lichterfelde_Steglitz,2019,historical,4.0
970.0,76.76,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,3.0
858.65,67.61,Grünau_Köpenick,2019,historical,2.0
511.44,67.94,Lichtenrade_Tempelhof,2019,historical,3.0
1659.0,106.92,Schmargendorf_Wilmersdorf,2019,historical,2.0
1965.2,115.6,Mitte,2019,historical,4.0
5000.0,344.0,Dahlem_Zehlendorf,2019,historical,9.0
730.0,52.0,Charlottenburg,2019,historical,2.0
2262.0,87.76,Wilmersdorf,2019,historical,3.0
728.0,56.0,Steglitz,2019,historical,2.0
599.0,38.89,Lichterfelde_Steglitz,2019,historical,1.0
1096.67,65.61,Charlottenburg,2019,historical,2.0
581.0,20.5,Wedding,2019,historical,1.0
770.0,25.0,Mitte,2019,historical,1.0
1500.0,98.98,Wedding,2019,historical,3.0
1010.62,87.88,Johannisthal_Treptow,2019,historical,3.0
460.0,33.0,Spandau,2019,historical,1.0
1250.0,76.0,Schmargendorf_Wilmersdorf,2019,historical,3.0
1771.45,97.87,Tiergarten,2019,historical,4.0
3200.0,125.41,Friedrichshain,2019,historical,3.0
1100.0,60.0,Pankow,2019,historical,2.0
864.83,53.22,Friedrichshain,2019,historical,2.0
1420.0,95.0,Schmargendorf_Wilmersdorf,2019,historical,3.5
1650.0,113.7,Lichterfelde_Steglitz,2019,historical,4.5
600.0,40.62,Reinickendorf,2019,historical,1.0
