title,price,size,address,link,is_split_from_multi,original_multi_count
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 15/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 16/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 17/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 18/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 19/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 20/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 21/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 22/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 23/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 24/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 25/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 26/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 27/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 28/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 29/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 30/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 31/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 32/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 33/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 34/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 35/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 36/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 37/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 38/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
