price,size,district,rooms,year,dataset_id,source,street,floor,typeOfFlat,yearConstructed,totalRent,plz
450.59,58.77,Buckow,2.0,2019,historical,Kaggle/Immobilienscout24,Gr&uuml;ner Weg,1.0,apartment,1958.0,623.91,12349
3400.0,224.0,Lichterfelde,5.0,2019,historical,Kaggle/Immobilienscout24,K&ouml;nigsbergerstr.,1.0,apartment,1908.0,3850.0,12203
693.84,96.5,Wedding,3.0,2019,historical,Kaggle/Immobilienscout24,Ruheplatzstra&szlig;e,3.0,apartment,1981.0,1018.84,13349
603.0,30.15,Niederschöneweide,1.0,2019,historical,Kaggle/Immobilienscout24,Schnellerstra&szlig;e,6.0,roof_storey,,693.45,12439
893.92,61.03,Friedrichsfelde,2.0,2019,historical,Kaggle/Immobilienscout24,Alfred-Kowalke-Stra&szlig;e,6.0,,2018.0,1061.92,10315
850.0,29.0,Wedding,1.0,2019,historical,Kaggle/Immobilienscout24,Koloniestr.,6.0,roof_storey,2018.0,,13349
750.0,70.0,Adlershof,2.5,2019,historical,Kaggle/Immobilienscout24,Hoffmannstra&szlig;e,3.0,,,970.0,12489
649.0,67.21,Friedrichsfelde,2.5,2019,historical,Kaggle/Immobilienscout24,Alt-Friedrichsfelde,3.0,apartment,1912.0,859.0,12683
1350.0,40.0,Mitte,2.0,2019,historical,Kaggle/Immobilienscout24,K&ouml;penicker Stra&szlig;e,,apartment,,1350.0,10409
1250.0,87.0,Johannisthal,3.0,2019,historical,Kaggle/Immobilienscout24,Johannes-Werner-Str.,2.0,apartment,1911.0,1415.0,12487
818.15,105.16,Lichterfelde,3.5,2019,historical,Kaggle/Immobilienscout24,Celsiusstr.,1.0,apartment,1970.0,1132.84,12203
800.0,43.06,Reinickendorf,2.0,2019,historical,Kaggle/Immobilienscout24,Romanshorner Weg,,ground_floor,1925.0,900.0,13407
1060.0,53.02,Weißensee,2.0,2019,historical,Kaggle/Immobilienscout24,Bizestr.,0.0,other,2019.0,1220.0,
1160.0,70.0,Prenzlauer,2.0,2019,historical,Kaggle/Immobilienscout24,Stargarder Str,2.0,apartment,,1400.0,10439
525.19,69.4,Hellersdorf,3.0,2019,historical,Kaggle/Immobilienscout24,Alte Hellersdorfer Str.,3.0,apartment,1989.0,732.84,12629
421.77,47.0,Johannisthal,1.0,2019,historical,Kaggle/Immobilienscout24,K&ouml;nigsheideweg,0.0,ground_floor,1905.0,571.77,12487
999.0,107.3,Oberschöneweide,3.0,2019,historical,Kaggle/Immobilienscout24,Wilhelminenhofstra&szlig;e,3.0,apartment,1904.0,1229.0,12459
1570.0,93.0,Tiergarten,3.0,2019,historical,Kaggle/Immobilienscout24,Rudolf-von-Gneist-Gasse,4.0,apartment,1998.0,1989.0,10785
1704.68,97.41,Mitte,3.0,2019,historical,Kaggle/Immobilienscout24,Boyenstra&szlig;e,6.0,roof_storey,2018.0,1996.9,10409
1595.0,82.75,Mitte,3.0,2019,historical,Kaggle/Immobilienscout24,Wallstra&szlig;e,1.0,apartment,2020.0,1845.0,10409
420.14,68.82,Marzahn,3.0,2019,historical,Kaggle/Immobilienscout24,Auersbergstra&szlig;e,5.0,apartment,1979.0,594.0,12687
1158.82,113.61,Alt,4.0,2019,historical,Kaggle/Immobilienscout24,Plauener Str.,0.0,raised_ground_floor,1997.0,1453.82,12524
2220.43,108.05,Tiergarten,4.0,2019,historical,Kaggle/Immobilienscout24,Heidestra&szlig;e,4.0,apartment,2019.0,2544.58,10785
1198.0,49.9,Prenzlauer,2.0,2019,historical,Kaggle/Immobilienscout24,Rykestr.,0.0,apartment,1906.0,1321.0,10439
860.0,48.0,Friedrichshain,1.5,2019,historical,Kaggle/Immobilienscout24,Erich-Nehlhans Stra&szlig;e,3.0,apartment,2019.0,990.0,10247
1142.12,94.0,Schöneberg,3.5,2019,historical,Kaggle/Immobilienscout24,Overbeckstr.,1.0,apartment,1940.0,1471.96,10829
634.76,63.54,Weißensee,1.0,2019,historical,Kaggle/Immobilienscout24,Behaimstra&szlig;e,2.0,apartment,1890.0,817.15,
995.0,74.73,Charlottenburg,3.0,2019,historical,Kaggle/Immobilienscout24,Kaiserdamm,1.0,apartment,,1245.0,14057
1555.0,82.0,Kreuzberg,2.0,2019,historical,Kaggle/Immobilienscout24,no_information,4.0,apartment,1900.0,1725.0,10967
486.15,68.86,Lichterfelde,2.5,2019,historical,Kaggle/Immobilienscout24,DorstenerStr.,2.0,apartment,1978.0,706.15,12203
3265.42,143.54,Mitte,3.5,2019,historical,Kaggle/Immobilienscout24,Voltairestra&szlig;e,10.0,apartment,,4135.29,10409
1349.0,85.36,Prenzlauer,3.0,2019,historical,Kaggle/Immobilienscout24,Bornholmer Stra&szlig;e,3.0,apartment,1910.0,,10439
1450.0,109.0,Mitte,1.0,2019,historical,Kaggle/Immobilienscout24,Oberwallstra&szlig;e,0.0,other,2009.0,1850.0,10409
500.0,57.5,Buch,1.0,2019,historical,Kaggle/Immobilienscout24,Zepernicker Str.,0.0,terraced_flat,2015.0,687.0,13125
589.0,64.0,Neukölln,2.0,2019,historical,Kaggle/Immobilienscout24,Aronsstr.,0.0,apartment,1974.0,799.0,12045
690.0,52.0,Zehlendorf,2.0,2019,historical,Kaggle/Immobilienscout24,Eschershauser Weg,0.0,apartment,1930.0,856.0,14163
449.0,37.0,Lankwitz,1.0,2019,historical,Kaggle/Immobilienscout24,Charlottenstr.,1.0,ground_floor,1955.0,544.0,12249
699.0,42.0,Charlottenburg,1.0,2019,historical,Kaggle/Immobilienscout24,Dovestra&szlig;e,1.0,apartment,1997.0,999.0,10629
735.0,71.98,Niederschöneweide,2.0,2019,historical,Kaggle/Immobilienscout24,Spreestr.,2.0,apartment,1900.0,942.0,12439
1666.68,98.04,Tiergarten,3.0,2019,historical,Kaggle/Immobilienscout24,Heidestra&szlig;e,0.0,ground_floor,2019.0,1960.8,10785
1094.0,60.76,Schöneberg,2.0,2019,historical,Kaggle/Immobilienscout24,no_information,3.0,apartment,1905.0,1234.0,10829
1000.0,54.95,Friedrichshain,2.0,2019,historical,Kaggle/Immobilienscout24,Landsberger Allee,6.0,apartment,1967.0,1150.0,12679
816.0,75.0,Weißensee,2.0,2019,historical,Kaggle/Immobilienscout24,Rennbahnstr.,1.0,apartment,1913.0,994.0,
4415.0,260.0,Mitte,3.0,2019,historical,Kaggle/Immobilienscout24,Unter den Linden,,other,2011.0,5705.0,10117
713.0,69.26,Köpenick,3.0,2019,historical,Kaggle/Immobilienscout24,Gr&uuml;nauer Str.,2.0,apartment,1994.0,900.0,12557
695.64,70.94,Wedding,2.0,2019,historical,Kaggle/Immobilienscout24,Hochst&auml;dter Str.,0.0,,1902.0,,13349
1621.76,112.31,Neukölln,3.0,2019,historical,Kaggle/Immobilienscout24,Mariendorfer Weg,0.0,ground_floor,1917.0,1958.69,12051
1144.0,88.0,Reinickendorf,3.0,2019,historical,Kaggle/Immobilienscout24,no_information,,apartment,1900.0,1408.0,13403
990.0,74.68,Französisch,2.0,2019,historical,Kaggle/Immobilienscout24,Nantesstra&szlig;e,4.0,roof_storey,2019.0,1215.0,13127
1790.0,107.89,Mitte,4.0,2019,historical,Kaggle/Immobilienscout24,Wallstra&szlig;e,2.0,apartment,2020.0,2080.0,10409
870.0,56.0,Kreuzberg,2.0,2019,historical,Kaggle/Immobilienscout24,Katzbach,0.0,ground_floor,,1082.0,10967
1290.0,51.0,Rosenthal,2.0,2019,historical,Kaggle/Immobilienscout24,Hauptstr.,3.0,,2018.0,1290.0,13158
451.52,56.44,Biesdorf,2.0,2019,historical,Kaggle/Immobilienscout24,Joachim-Ringelnatz-Stra&szlig;e,4.0,roof_storey,1995.0,605.55,12683
4985.0,151.4,Mitte,4.0,2019,historical,Kaggle/Immobilienscout24,Falkoniergasse,3.0,apartment,2018.0,,10117
290.0,33.0,Waidmannslust,1.0,2019,historical,Kaggle/Immobilienscout24,Tegernauer Zeile,0.0,apartment,1971.0,430.0,13469
967.13,99.91,Wilmersdorf,4.0,2019,historical,Kaggle/Immobilienscout24,Schlangenbader Stra&szlig;e,2.0,apartment,1974.0,1332.37,10717
3500.0,235.0,Zehlendorf,6.0,2019,historical,Kaggle/Immobilienscout24,no_information,,roof_storey,2015.0,4000.0,14169
533.97,59.33,Buckow,1.5,2019,historical,Kaggle/Immobilienscout24,Parksiedlung Spruch,1.0,apartment,1995.0,809.34,12349
497.0,74.29,Spandau,3.0,2019,historical,Kaggle/Immobilienscout24,Hinter den G&auml;rten,1.0,,1977.0,720.99,13627
1961.46,115.38,Mitte,4.0,2019,historical,Kaggle/Immobilienscout24,Boyenstra&szlig;e,5.0,apartment,2013.0,2307.6,10409
2242.64,131.92,Mitte,5.0,2019,historical,Kaggle/Immobilienscout24,Boyenstra&szlig;e,4.0,apartment,2013.0,2638.4,10409
1025.0,60.78,Friedrichshain,2.0,2019,historical,Kaggle/Immobilienscout24,Corinthstrasse,2.0,,1919.0,1320.0,10247
430.0,47.63,Köpenick,2.0,2019,historical,Kaggle/Immobilienscout24,Gr&uuml;nauer Strasse,0.0,apartment,1994.0,630.0,12557
2419.0,138.96,Prenzlauer,3.0,2019,historical,Kaggle/Immobilienscout24,Sch&ouml;nhauser Allee 140,2.0,apartment,1912.0,,10439
669.0,59.43,Siemensstadt,2.0,2019,historical,Kaggle/Immobilienscout24,Natalissteig,0.0,ground_floor,1930.0,869.0,13629
528.13,32.5,Friedrichsfelde,1.0,2019,historical,Kaggle/Immobilienscout24,L&ouml;wenberger Stra&szlig;e,,apartment,2020.0,628.93,10315
661.0,55.05,Reinickendorf,2.0,2019,historical,Kaggle/Immobilienscout24,Hausotterstra&szlig;e,1.0,apartment,1993.0,798.0,13403
541.7,60.19,Spandau,2.0,2019,historical,Kaggle/Immobilienscout24,Kulbeweg,4.0,roof_storey,2003.0,683.7,13587
1100.0,30.0,Prenzlauer,2.0,2019,historical,Kaggle/Immobilienscout24,Jablonskistra&szlig;e,2.0,,2017.0,,10439
