PLZ,Ortsteil,Bezirk,Lat,Lon
13581,Staaken,Spandau,52.5333,13.1333
13583,Falkenhagener Feld,Spandau,52.55,13.1667
13585,Hakenfelde,Spandau,52.55,13.1833
13587,Hakenfelde,Spandau,52.55,13.1833
13589,Hakenfelde,Spandau,52.55,13.1833
13591,Spandau,Spandau,52.5333,13.2
13593,Wilhelmstadt,Spandau,52.5167,13.1833
13595,Staaken,Spandau,52.5333,13.1333
13597,Wilhelmstadt,Spandau,52.5167,13.1833
13599,Siemensstadt,Spandau,,
13627,Wilhelmstadt,Spandau,52.5167,13.1833
13629,Haselhorst,Spandau,,
14050,Westend,Charlottenburg-Wilmersdorf,52.5167,13.2833
14052,Spandau,Spandau,52.5333,13.2
14053,Westend,Charlottenburg-Wilmersdorf,52.5167,13.2833
14055,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
14057,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
14059,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
14089,Gatow,Spandau,52.4833,13.1833
14109,Wannsee,Steglitz-Zehlendorf,52.4167,13.1833
14129,Zehlendorf,Steglitz-Zehlendorf,52.4333,13.25
14163,Zehlendorf,Steglitz-Zehlendorf,52.4333,13.25
14165,Zehlendorf,Steglitz-Zehlendorf,52.4333,13.25
14167,Lichtenrade,Tempelhof-Schöneberg,52.3833,13.4
14169,Dahlem,Steglitz-Zehlendorf,52.4667,13.2833
14193,Wannsee,Steglitz-Zehlendorf,52.4167,13.1833
14195,Schmargendorf,Charlottenburg-Wilmersdorf,52.4667,13.2833
14197,Wilmersdorf,Charlottenburg-Wilmersdorf,52.4867,13.3189
14199,Schmargendorf,Charlottenburg-Wilmersdorf,52.4667,13.2833
